,open,high,low,close,volume,date
0,12.564,12.767,11.998,12.735,75247.12504,2020-04-01
1,12.746,13.74,12.578,13.021,121868.83307,2020-04-02
2,13.025,13.574,12.921,13.361,72371.013,2020-04-03
3,13.359,14.078,13.17,13.77,272417.7849,2020-04-04
4,13.77,13.965,13.413,13.698,119255.84893,2020-04-05
5,13.698,15.198,13.649,15.181,144584.22684,2020-04-06
6,15.181,15.484,14.245,14.697,178782.12613,2020-04-07
7,14.697,15.34,14.532,15.105,144153.97028,2020-04-08
8,15.105,15.214,14.636,15.018,94744.48711,2020-04-09
9,15.018,15.063,13.469,13.713,277051.93552,2020-04-10
10,13.713,14.08,13.55,13.818,177195.61112,2020-04-11
11,13.818,14.859,13.667,14.27,45760.23613,2020-04-12
12,14.27,15.103,13.665,15.05,304579.07092,2020-04-13
13,15.05,15.985,14.808,15.602,267044.19017,2020-04-14
14,15.602,15.842,14.523,14.575,154116.73216,2020-04-15
15,14.575,15.784,14.126,15.745,200462.22239,2020-04-16
16,15.745,15.928,15.261,15.651,59897.39307,2020-04-17
17,15.651,16.832,15.64,16.618,59837.72622,2020-04-18
18,16.618,16.676,15.867,16.066,47331.95948,2020-04-19
19,16.066,16.454,14.86,14.998,88097.81032,2020-04-20
20,14.988,15.44,14.743,15.138,159773.25748,2020-04-21
21,15.138,15.831,14.941,15.677,82645.39441,2020-04-22
22,15.677,16.523,15.426,16.046,4073889.59688,2020-04-23
23,16.046,16.278,15.694,15.928,5853716.66244,2020-04-24
24,15.928,16.443,15.778,16.221,5583186.79251,2020-04-25
25,16.221,16.449,16.043,16.37,6234635.89938,2020-04-26
26,16.37,16.57,16.067,16.433,5236346.66225,2020-04-27
27,16.433,16.495,16.159,16.366,2098324.55484,2020-04-28
28,16.363,17.567,16.327,17.388,6539335.40906,2020-04-29
29,17.388,18.179,16.474,16.974,8447554.47171,2020-04-30
30,16.974,17.863,16.959,17.469,9005049.90895,2020-05-01
31,17.469,17.596,17.303,17.54,6174989.16027,2020-05-02
32,17.54,17.818,16.878,17.104,6927367.56203,2020-05-03
33,17.104,17.318,16.293,17.029,6943126.42797,2020-05-04
34,17.029,17.319,16.625,16.898,6970734.46779,2020-05-05
35,16.898,17.175,16.358,16.396,7233578.96625,2020-05-06
36,16.396,17.263,16.134,17.019,5988034.51657,2020-05-07
37,17.019,17.425,16.851,17.147,378633.70846,2020-05-08
38,17.143,17.499,16.759,16.759,2437874.04965,2020-05-09
39,16.759,16.775,13.813,15.348,5950862.16791,2020-05-10
40,15.348,15.551,14.059,15.095,16943706.1688,2020-05-11
41,15.095,16.259,14.981,15.793,9522864.44991,2020-05-12
42,15.793,16.363,15.706,16.209,2119967.95369,2020-05-13
43,16.209,16.703,16.05,16.385,516033.72093,2020-05-14
44,16.385,16.462,15.565,15.685,586811.1233,2020-05-15
45,15.685,16.227,15.569,16.061,99650.24841,2020-05-16
46,16.061,16.509,16.0,16.282,119618.76782,2020-05-17
47,16.282,16.839,16.258,16.621,172005.76561,2020-05-18
48,16.621,17.233,16.289,17.218,206033.49101,2020-05-19
49,17.218,17.318,16.492,16.891,304743.78367,2020-05-20
50,16.891,17.043,15.708,16.059,916867.65843,2020-05-21
51,16.059,16.901,15.919,16.584,364637.42372,2020-05-22
52,16.584,16.84,16.34,16.48,42068.13313,2020-05-23
53,16.48,16.77,15.94,15.94,250224.85858,2020-05-24
54,15.94,16.41,15.801,16.378,669824.84132,2020-05-25
55,16.378,16.484,15.962,16.215,124043.03676,2020-05-26
56,16.215,16.52,16.168,16.463,74760.00885,2020-05-27
57,16.463,17.151,16.4,17.065,70801.28493,2020-05-28
58,17.065,17.175,16.651,17.004,88279.59173,2020-05-29
59,17.004,17.771,16.94,17.735,107930.44516,2020-05-30
60,17.735,18.16,16.857,17.065,471155.93122,2020-05-31
61,17.065,18.17,16.979,17.922,911031.45849,2020-06-01
62,17.922,18.175,16.693,17.281,489176.92972,2020-06-02
63,17.281,17.616,17.006,17.59,122388.65371,2020-06-03
64,17.59,17.638,17.091,17.525,133664.64392,2020-06-04
65,17.525,17.879,17.457,17.668,102204.27445,2020-06-05
66,17.668,17.771,17.499,17.559,159478.42077,2020-06-06
67,17.559,17.618,16.863,17.411,486577.61654,2020-06-07
68,17.411,17.561,17.278,17.442,170319.86911,2020-06-08
69,17.442,17.516,17.048,17.387,319349.1087,2020-06-09
70,17.387,17.624,17.188,17.407,426754.26867,2020-06-10
71,17.407,17.529,15.901,16.212,413183.94175,2020-06-11
72,16.212,16.793,16.087,16.624,114387.5979,2020-06-12
73,16.624,16.813,16.491,16.804,35493.41162,2020-06-13
74,16.804,16.825,16.399,16.559,39096.25072,2020-06-14
75,16.559,16.561,15.491,16.391,552171.46581,2020-06-15
76,16.391,16.642,16.164,16.434,510090.91766,2020-06-16
77,16.434,16.615,15.969,16.372,533995.63859,2020-06-17
78,16.372,16.507,15.878,16.149,212056.65201,2020-06-18
79,16.149,16.257,15.889,15.937,194833.29083,2020-06-19
80,15.937,16.063,15.7,16.06,184726.53147,2020-06-20
81,16.06,16.302,15.917,15.956,93710.82194,2020-06-21
82,15.956,16.548,15.941,16.499,53179.45605,2020-06-22
83,16.499,16.539,16.266,16.373,21041.70189,2020-06-23
84,16.373,16.637,15.927,15.974,324903.93867,2020-06-24
85,15.974,16.056,15.463,15.892,253855.193,2020-06-25
86,15.892,15.967,15.552,15.762,407964.20948,2020-06-26
